index,image_link,group_id,entity_name
605,https://m.media-amazon.com/images/I/31NWystBLAL.jpg,156839,width
8611,https://m.media-amazon.com/images/I/41OCVYJ-KnL.jpg,156839,depth
79833,https://m.media-amazon.com/images/I/61-YbkDqkLL.jpg,156839,height
17547,https://m.media-amazon.com/images/I/41vCgHaQuMS.jpg,156839,maximum_weight_recommendation
88278,https://m.media-amazon.com/images/I/614TMKR5P8L.jpg,156839,height
72401,https://m.media-amazon.com/images/I/51uX57IUjqL.jpg,156839,width
58177,https://m.media-amazon.com/images/I/51ezShX6oOL.jpg,156839,maximum_weight_recommendation
64264,https://m.media-amazon.com/images/I/51lbLUAM+VL.jpg,156839,maximum_weight_recommendation
11161,https://m.media-amazon.com/images/I/41XPHOFNNSL.jpg,156839,height
62925,https://m.media-amazon.com/images/I/51kAsbpekOL.jpg,156839,height
604,https://m.media-amazon.com/images/I/31NWystBLAL.jpg,156839,depth
100772,https://m.media-amazon.com/images/I/61BrYrqnE2L.jpg,156839,width
3861,https://m.media-amazon.com/images/I/417S8RaOSDL.jpg,156839,maximum_weight_recommendation
6252,https://m.media-amazon.com/images/I/41FusG46z3L.jpg,156839,height
12624,https://m.media-amazon.com/images/I/41ce37kV9CL.jpg,156839,maximum_weight_recommendation
21641,https://m.media-amazon.com/images/I/510z6C7CkJL.jpg,792578,width
59179,https://m.media-amazon.com/images/I/51g2ut5qGjL.jpg,792578,depth
88832,https://m.media-amazon.com/images/I/614ocN9qREL.jpg,792578,depth
90765,https://m.media-amazon.com/images/I/615wWwJ1BRL.jpg,792578,width
34689,https://m.media-amazon.com/images/I/51FCtskKZYL.jpg,792578,height
67447,https://m.media-amazon.com/images/I/51p6nCQp7NL.jpg,792578,height
59178,https://m.media-amazon.com/images/I/51g2ut5qGjL.jpg,792578,width
57012,https://m.media-amazon.com/images/I/51dbdmQRsTL.jpg,792578,depth
37078,https://m.media-amazon.com/images/I/51HwFQWogmL.jpg,792578,depth
84289,https://m.media-amazon.com/images/I/6125ojk3JNL.jpg,792578,width
85791,https://m.media-amazon.com/images/I/6130OTyPB0L.jpg,792578,width
31000,https://m.media-amazon.com/images/I/51BDxSUFzWL.jpg,478357,width
75038,https://m.media-amazon.com/images/I/51xS7BxNpbL.jpg,478357,width
49555,https://m.media-amazon.com/images/I/51VWg0fADTL.jpg,478357,depth
19969,https://m.media-amazon.com/images/I/51-DuvQC2qL.jpg,478357,width
58404,https://m.media-amazon.com/images/I/51fCmxitE8L.jpg,478357,height
53656,https://m.media-amazon.com/images/I/51a+ps1EE3L.jpg,478357,height
39150,https://m.media-amazon.com/images/I/51K9anbOFxL.jpg,478357,width
56086,https://m.media-amazon.com/images/I/51cXmXzc0eL.jpg,478357,width
104024,https://m.media-amazon.com/images/I/61DlupavtLL.jpg,478357,height
676,https://m.media-amazon.com/images/I/31QY4R5UNwL.jpg,478357,height
